task,sample_index,sample_id,class_code,vertebral_formula,numeric_label,outer_fold
two_view_AB_vs_BA_100perclass,8,G1186-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,9,82-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,10,B037-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,15,G1176-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,18,G1867-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,25,88-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,28,G1214-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,30,116-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,35,G1073-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,39,70-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,42,958-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,45,G1218-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,49,995-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,51,G1187-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,52,955-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,54,913-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,56,976-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,84,44-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,87,32-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,97,60-AB,AB,T13L7,0,1
two_view_AB_vs_BA_100perclass,104,Y463BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,109,"Y775,6BA",BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,118,49-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,125,Y1116-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,126,Y924-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,141,50-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,143,93-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,148,987-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,151,G1100-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,157,Y1384-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,165,G1125-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,170,G1156-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,171,"Y821,2BA",BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,173,83-BA,BA,T14L6,1,1
two_view_AB_vs_BA_100perclass,175,G1086-BA,BA,T14L6,1,1
